title,URL,shared,Embedded link
M009 fea 1 004,https://www.youtube.com/watch?v=cjSwZIgIAl4,https://youtu.be/cjSwZIgIAl4,https://www.youtube.com/embed/cjSwZIgIAl4
M009 sur 1 004,https://www.youtube.com/watch?v=nMciMWS4Suk,https://youtu.be/nMciMWS4Suk,https://www.youtube.com/embed/nMciMWS4Suk
W011 sad 1 005,https://www.youtube.com/watch?v=m1D4YbdHX3s,https://youtu.be/m1D4YbdHX3s,https://www.youtube.com/embed/m1D4YbdHX3s
M003 ang 1 001,https://www.youtube.com/watch?v=IZ8RHH10ZRk,https://youtu.be/IZ8RHH10ZRk,https://www.youtube.com/embed/IZ8RHH10ZRk
W011 hap 1 005,https://www.youtube.com/watch?v=bPA2yLlNzGw,https://youtu.be/bPA2yLlNzGw,https://www.youtube.com/embed/bPA2yLlNzGw
W014 fea 1 006,https://www.youtube.com/watch?v=BZM7JUK__Bg,https://youtu.be/BZM7JUK__Bg,https://www.youtube.com/embed/BZM7JUK__Bg
M003 con 1 001,https://www.youtube.com/watch?v=tal7rI2ysoU,https://youtu.be/tal7rI2ysoU,https://www.youtube.com/embed/tal7rI2ysoU
W014 con 1 006,https://www.youtube.com/watch?v=TgtMVRYRYEw,https://youtu.be/TgtMVRYRYEw,https://www.youtube.com/embed/TgtMVRYRYEw
100 SEN 03,https://www.youtube.com/watch?v=NzithONLwIw,https://youtu.be/NzithONLwIw,https://www.youtube.com/embed/NzithONLwIw
037 SEN 03,https://www.youtube.com/watch?v=xU6jkNz1IwY,https://youtu.be/xU6jkNz1IwY,https://www.youtube.com/embed/xU6jkNz1IwY
036 SEN 08,https://www.youtube.com/watch?v=2HPwXGtkjHY,https://youtu.be/2HPwXGtkjHY,https://www.youtube.com/embed/2HPwXGtkjHY
057 SEN 01,https://www.youtube.com/watch?v=uqvKY47r3hA,https://youtu.be/uqvKY47r3hA,https://www.youtube.com/embed/uqvKY47r3hA
